Field1,Time,Field2
 Road accidents due to stray animals up by 30% this year in Tamil Nadu ,"TNN / Jan 04, 2022, 08:40 (IST)"," Every year at least 40 people from Chennai and its suburbs are killed in road accidents involving stray animals. Over 100 people get injured in these accidents annually, according to official data. "
" 6 killed, 10 injured in Pakistan road accidents ","IANS / Nov 16, 2021, 15:31 (IST)",  
 Three killed in road accidents ,"TNN / Oct 18, 2021, 04:56 (IST)",  
 Nashik: Woman killed in road accident ,"TNN / Oct 21, 2021, 04:35 (IST)", Ambad police have registered an offence of causing death due to negligence against the unidentified truck driver on a complaint filed by the relative of the deceased woman. 
 3 cousins killed in bike accident on busy Delhi-Dehradun highway ,"TNN / Nov 04, 2021, 04:08 (IST)",  
" Rajasthan: Three killed in road accident in Rajsamand district, say Police ","PTI / Nov 30, 2021, 15:08 (IST)", Three men were killed and six others injured when the pick-up van in which they were travelling collided head-on with a truck in Rajsamand district of Rajasthan on Monday. 
 Two Killed in accident on Bareilly-Nainital highway ,"TNN / Nov 07, 2021, 03:10 (IST)", An ambulance carrying a patient to the hospital collided with a bike coming from the opposite direction killing two youngsters on the spot and grievously injuring a 21-year-old woman on Bareilly-Nainital national highway on Saturday morning. 
 Gujarat: Four killed after van overturns ,"TNN / Oct 21, 2021, 04:32 (IST)", At least four persons were killed and two were seriously injured when the van they were travelling in overturned near Mahudha town in Kheda district on Tuesday night. 
 Bihar: Six including late actor Sushant Singh Rajput’s relative Killed in accident in Lakhisarai ,"TNN / Nov 16, 2021, 14:48 (IST)"," At least six people were killed and four others injured in Bihar's Lakhisarai district on Tuesday when an SUV carrying them collided with a LPG cylinder-laden truck, a senior police officer said. The deceased, all residents of Jamui, are members of one family, he said. "
 3 Killed in accidents ,"TNN / Oct 04, 2021, 04:01 (IST)",  
" Himachal Pradesh: One dead, 14 injured in bus accident in Bilaspur ","TNN / Jan 02, 2022, 13:23 (IST)", A girl was killed and 14 others were injured after two tourist buses met with accidents at Gara Maura along Chandigarh-Manali national highway in Himachal Pradesh's Bilaspur district on Sunday. 
" Mother, son Killed in accident ","TNN / Oct 13, 2021, 04:58 (IST)",  
 Two killed in road accident ,"TNN / Oct 13, 2021, 04:33 (IST)",  
" 2 killed, five hurt as car falls into gorge in Champawat ","TNN / Nov 22, 2021, 04:21 (IST)",  
" Gujarat: Three killed, five injured in car-bike collision in Surendranagar ","PTI / Nov 24, 2021, 20:05 (IST)"," Three persons were killed and five injured when a speeding car collided with a motorcycle on a highway in Gujarat's Surendranagar district, police said on Wednesday. "
" Gujarat: 4 home guards killed, 1 injured in truck-car collision in Kheda district ","PTI / Oct 01, 2021, 12:10 (IST)"," Four home guards were killed and another one was seriously injured after their car collided with a truck in Kapadvanj tehsil of Gujarat's Kheda district in the early hours of Friday, police said. The accident took place near Kavath village on Modasa-Kapadvanj road, they said.​ "
 Himachal Pradesh: Paragliding accident kills tourist in Bir Billing ,"TNN / Nov 22, 2021, 07:50 (IST)", A man from Himachal Pradesh’s Kangra district died after falling from a paraglider during a tandem flight in Bir Billing area on Sunday. The deceased has been identified as Sandeep Chaudhary (30) from Mumta village in Kangra’s Nagrota Bagwan. 
" Madhya Pradesh: 5 killed, 20 injured in 2 road accidents in Rajgarh ","PTI / Dec 05, 2021, 15:08 (IST)"," A case was registered against the truck driver and the vehicle was seized, the police said. "
" Six killed, two injured in separate accidents in Rajasthan ","TNN / Nov 14, 2021, 04:03 (IST)", Five persons were killed and two injured in three separate accidents across the state on Saturday. 
" Two killed, 12 injured in Jammu and Kashmir accident ","TNN / Nov 14, 2021, 00:20 (IST)",  
 6-yr-old among 3 killed in separate accidents ,"TNN / Nov 01, 2021, 04:03 (IST)",  
 Dentist killed in freak accident on Mumbai-Pune e-way ,"TNN / Sep 28, 2021, 04:57 (IST)"," A 32-year-old dentist, Aditya Tankhiwale, residing in Kharghar, was killed in an accident on the Mumbai-Pune e-way, while returning from Pune. "
 3 patwari exam aspirants killed in Bikaner accident ," Oct 26, 2021, 04:19 (IST)",  
" 5 dead, 10 hurt in road accident ","TNN / Jan 10, 2022, 03:57 (IST)"," Five people were killed and 10 injured after a minivan hit an unidentified vehicle on Dholka-Bagodara highway in the wee hours of Sunday, police said. "
" 1 student, 6 hurt in road accident ","TNN / Jan 10, 2022, 03:59 (IST)", One student was killed and six others were injured in a road accident in the Balodabazar district. The students were going appear in an exam when their SUV overturned on the Balodabazar-Bhatapara road on Sunday. 
 Four killed in collision between two bikes in EG ,"TNN / Nov 15, 2021, 04:00 (IST)",  
 12 killed in Rajasthan bus-trailer crash ,"TNN / Nov 11, 2021, 05:20 (IST)",  
 Andhra Pradesh: SV Vedic university professor and his wife killed in road accident ,"TNN / Dec 08, 2021, 18:45 (IST)",  
 MBBS student Killed in accident ,"TNN / Oct 11, 2021, 04:05 (IST)",  
" Three, including minor killed in road accident ","TNN / Sep 17, 2021, 04:15 (IST)", Three people including a 10-year-old boy died in a road accident near Kawas in the limits of Ichhapore police station early on Thursday. Two others who were travelling in the ill-fated car were left injured and are currently under treatment at a private hospital. 
 Hyderabad: 19-year-old killed as bike collides with van ,"TNN / Nov 17, 2021, 04:30 (IST)"," 19-year-old, K Yogi of Meerpet, died and his friend, Revanth Kumar (22), suffered injuries when their bike was hit by a DCM van near IS Sadan on Tuesday. "
 Three Killed in accident on Jaipur-Delhi highway ,"TNN / Sep 25, 2021, 04:01 (IST)", Three persons including a man posted as a gunman with Madhya Pradesh police were killed in a road accident on Jaipur-Delhi highway near Kotputli on Friday. 
" Accident involving bus, 2 trucks on Mumbai-Pune Expressway kills 3, injures 15 ","PTI / Dec 12, 2021, 23:07 (IST)"," Three people were killed and 15 injured after a truck dashed into a bus that went on to hit another vehicle on the Mumbai-Pune Expressway under Khopoli police station limits, an official said on Sunday. "
 Tamil Nadu: Five killed as truck collides with van near Parappalayam ,"TNN / Nov 19, 2021, 10:03 (IST)"," A police officer said the incident occurred when the eight, seven of them of the same family, were returning to Muthugoundampalayam in an omni van after offering prayers at the Dhandayuthapani Swamy Temple in Palani in Dindigul district. "
" Employee, pedestrian die in accidents ","TNN / Dec 27, 2021, 03:41 (IST)", Three people were killed in separate accidents in the city. A 30-year-old private firm employee died and two others sustained injuries around 1.30am on Saturday when an auto toppled in Rajajinagar. 
" 2 dead, five hurt in separate accidents ","TNN / Jan 08, 2022, 04:34 (IST)",  
" 2 die, 3 hurt as car hits 2 bikes in Kota "," Oct 26, 2021, 04:21 (IST)",  
" 12-year-old boy hit by tempo, among three killed in last 24 hours in separate accidents "," Oct 26, 2021, 04:06 (IST)",  
" Lab technician, two techies die in accidents ","TNN / Jan 08, 2022, 03:46 (IST)"," Two software engineers and one lab technician were killed in two accidents in the city on Thursday night. Lakshmisha, 28, a software engineer, and his friend Raghavendra, 30, a lab technician, died after their bike crashed into the median on Outer Ring Road near PES College, Banashankari. "
 Bihar: Five die in separate accidents ,"TNN / Jan 02, 2022, 04:02 (IST)"," Three youths died on the spot when their bike was hit by an unidentified truck on the Bhagalpur-Bounsi main road near Pista Chowk under Bypass police station area in Bhagalpur around 2.30am on Saturday. The deceased were identified as Mohd Imdoz (21), Masood Alam (20) and Vivek Kumar (22). "
 Truck mows down three pedestrians in Pune ,"PTI / Dec 28, 2021, 11:25 (IST)"," Three pedestrians were killed after a mini-truck knocked them down on Mumbai-Bengaluru highway in Pune on Tuesday morning, police said. "
 11 killed in Nigeria road accident ,"ANI / Oct 18, 2021, 08:32 (IST)",  
 Rash riding kills 23-year-old biker in Kolkata ,"TNN / Oct 24, 2021, 04:58 (IST)", The dangers of rash bike riding returned to haunt the city in the wee hours of Saturday when a 23-year-old youth and his 26-year-old friend from Haridevpur — racing on NSC Bose Road in Naktala — were thrown off their two-wheeler. 
 6 die in separate accidents in Raj ," Jan 01, 2022, 03:56 (IST)"," Four persons were killed and two others injured in a collision between a car and a bike near Lampolai village in Nagaur on Thursday.According to police, three persons on a bike were returning to their village after shopping. “Suddenly a car coming from opposite direction hit the bike. "
 2 killed in separate accidents ,"TNN / Oct 02, 2021, 04:35 (IST)",  
 5 relatives of Sushant Singh Rajput killed in Bihar road accident ,"IANS / Nov 16, 2021, 15:49 (IST)"," Six persons, including five distant relatives of late Bollywood actor Sushant Singh Rajput, were killed when their SUV collided with a truck in Bihar's Lakhisarai district on Tuesday morning, police said. "
 Five killed as car rams into tree in Kurukshetra ,"TNN / Nov 05, 2021, 20:17 (IST)", Five persons including two cousin brothers have been killed in a fatal crash as a car rammed into a tree on Shahabad-Nalvi road near Aman Petrol Pump in Nalvi village of Kurukshetra district in the early hours on Friday. 
 Two teenagers killed in Patna bike accident ,"TNN / Oct 27, 2021, 04:24 (IST)"," Two teenagers died in an accident when the high-end sports bike they were riding rammed into the Chitkohra road overbridge railings in Patna early Tuesday morning. The deceased were identified as Ankit Kumar (19) of Shahpur Pipra in Sampatchak and Manish Kumar (18) of Harnichak in Phulwarisharif, both in Patna. "
" 3 MP cops among 5 killed, 3 injured in accident on Yamuna Expressway ","TNN / Dec 03, 2021, 19:44 (IST)"," Five people, including three police personnel, were killed and three others injured when their car hit a divider on the Yamuna Expressway here, an official said on Friday. "
 Uttar Pradesh: Five killed in car-tractor collision in Kushinagar ,"TNN / Oct 29, 2021, 10:52 (IST)", Five people were killed after a car collided head on with a tractor in Kushinagar on Friday morning. 
" Uttarakhand: 13 killed, 4 injured after bus falls into gorge in Chakrata near Dehradun ","TNN / Oct 31, 2021, 12:02 (IST)", At least 12 passengers were killed and 4 others injured after a bus they were travelling in plunged into a 300-metre deep gorge in Dehradun's Chakrata on Sunday. 
" Thane: Trader-cum-broker killed as truck hits bike, kin get Rs 87.3 lakh ","TNN / Sep 24, 2021, 04:02 (IST)", The family of a businessman who was killed in a road accident in Bhiwandi in 2016 was awarded a compensation of Rs 87.3 lakh by the Thane Motor Accident Claims Tribunal (MACT). 
 Chennai: Class IX student Killed in accident ,"TNN / Oct 26, 2021, 07:26 (IST)", A police head constable's daughter was killed in Kolathur on Monday after a garbage truck rammed the two-wheeler she was riding pillion on. 
 Maharashtra: Accident on NH-4 kills 2 from Kalyan ," Nov 12, 2021, 04:41 (IST)",  
 Three killed in road accident in Uttar Pradesh ,"PTI / Oct 24, 2021, 14:57 (IST)"," Three persons, including a father-son duo, were killed when their motorcycle was hit by a vehicle here, police said on Sunday. "
" Guest worker, student Killed in accident "," Oct 12, 2021, 04:12 (IST)",  
" Car rams bus on Yamuna Expressway, two tourists killed ","TNN / Oct 25, 2021, 04:59 (IST)"," Two tourists died and four, including three students from Congo, were injured after a Honda Civic cruising at 110kmph crashed into a mini bus parked off the Yamuna Expressway on Sunday morning. "
